ID,index,middle,ring,y
413,1289,888,1583,3
414,1293,887,1580,3
415,1294,885,1578,3
416,1296,886,1577,3
417,1294,873,1578,3
418,1300,870,1580,3
419,1300,881,1574,3
420,1298,864,1577,3
421,1301,817,1579,3
422,1300,804,1582,3
423,1293,804,1586,3
424,1289,804,1595,3
425,1290,810,1592,3
426,1287,824,1589,3
427,1287,838,1587,3
428,1286,877,1581,3
429,1282,914,1584,3
430,1280,900,1583,3
431,1282,870,1586,3
432,1278,878,1588,3
433,1281,900,1587,3
434,1282,949,1581,3
435,1285,997,1586,3
436,1302,1025,1588,3
437,1312,1041,1593,3
438,1328,1042,1597,3
439,1330,1031,1594,3
440,1331,1022,1590,3
441,1326,1013,1585,3
442,1322,1016,1582,3
443,1317,997,1586,3
444,1314,986,1588,3
445,1315,975,1589,3
446,1308,968,1589,3
447,1312,964,1589,3
448,1313,972,1582,3
449,1307,965,1589,3
450,1310,960,1593,3
451,1320,975,1587,3
452,1315,992,1588,3
453,1315,988,1586,3
454,1316,989,1580,3
455,1315,989,1585,3
456,1313,990,1588,3
457,1313,992,1587,3
458,1312,1007,1586,3
459,1323,999,1581,3
460,1341,996,1576,3
461,1357,995,1579,3
462,1362,998,1581,3
463,1350,1003,1580,3
464,1353,1006,1586,3
465,1354,1005,1576,3
466,1341,1007,1572,3
467,1344,1006,1571,3
468,1361,1003,1578,3
469,1365,1008,1579,3
470,1362,1009,1585,3
471,1351,1009,1578,3
472,1354,997,1578,3
473,1347,988,1575,3
474,1342,975,1587,3
475,1339,972,1590,3
476,1330,963,1600,3
477,1325,954,1602,3
478,1316,946,1596,3
479,1300,940,1592,3
480,1293,941,1579,3
481,1295,933,1582,3
482,1294,923,1585,3
483,1295,917,1588,3
484,1287,913,1586,3
485,1281,911,1589,3
486,1281,911,1588,3
487,1283,915,1588,3
488,1293,919,1627,3
489,1295,926,1659,3
490,1301,937,1660,3
491,1304,946,1650,3
492,1324,955,1647,3
493,1341,986,1682,3
494,1353,1031,1798,3
495,1356,1065,1839,3
496,1346,1060,1809,3
497,1337,1044,1764,3
498,1338,1026,1720,3
499,1338,1011,1680,3
500,1341,1004,1665,3
501,1345,1004,1658,3
502,1350,1013,1674,3
503,1354,1029,1709,3
504,1353,1037,1731,3
505,1354,1036,1734,3
506,1353,1031,1725,3
507,1351,1031,1725,3
508,1346,1028,1715,3
509,1345,1025,1710,3
510,1340,1024,1705,3
511,1336,1021,1722,3
512,1337,1021,1775,3
513,1335,1027,1809,3
514,1336,1027,1819,3
515,1330,1028,1823,3
516,1326,1029,1833,3
517,1321,1029,1814,3
518,1324,1031,1794,3
519,1323,1035,1780,3
520,1330,1033,1775,3
521,1329,1033,1770,3
522,1327,1032,1766,3
523,1322,1031,1766,3
524,1319,1028,1763,3
525,1318,1025,1757,3
526,1317,1023,1761,3
527,1319,1022,1762,3
528,1317,1021,1758,3
529,1317,1021,1761,3
530,1318,1022,1753,3
531,1321,1020,1750,3
532,1321,1018,1747,3
533,1323,1019,1748,3
534,1318,1019,1745,3
535,1320,1020,1747,3
536,1322,1027,1737,3
537,1321,1025,1736,3
538,1326,1022,1730,3
539,1326,1035,1720,3
540,1327,1037,1719,3
541,1327,1044,1723,3
542,1330,1055,1710,3
543,1328,1066,1706,3
544,1333,1071,1704,3
545,1334,1075,1692,3
546,1332,1074,1691,3
547,1334,1072,1691,3
548,1334,1054,1710,3
549,1328,1044,1718,3
550,1331,1039,1714,3
551,1332,1034,1706,3
552,1332,1028,1712,3
553,1333,1029,1711,3
554,1328,1028,1713,3
555,1329,1028,1712,3
556,1328,1029,1700,3
557,1331,1027,1691,3
558,1330,1026,1684,3
559,1333,1025,1689,3
560,1332,1027,1688,3
561,1336,1028,1699,3
562,1340,1030,1695,3
563,1333,1027,1682,3
564,1334,1019,1663,3
565,1332,1015,1651,3
566,1331,1013,1645,3
567,1328,1007,1643,3
568,1327,999,1643,3
569,1322,1002,1639,3
570,1321,1005,1642,3
571,1309,994,1637,3
572,1297,964,1656,3
573,1290,947,1672,3
574,1283,943,1684,3
575,1277,944,1683,3
576,1276,942,1682,3
577,1274,944,1684,3
578,1273,941,1687,3
579,1274,937,1693,3
580,1268,937,1688,3
581,1264,933,1690,3
582,1262,930,1674,3
583,1267,926,1666,3
584,1267,926,1667,3
585,1269,928,1713,3
586,1268,932,1739,3
587,1268,933,1744,3
588,1273,930,1744,3
589,1276,935,1739,3
590,1279,942,1724,3
591,1276,951,1725,3
592,1279,964,1725,3
593,1276,969,1734,3
594,1279,973,1761,3
595,1282,983,1776,3
596,1281,997,1781,3
597,1287,1008,1786,3
598,1289,1021,1788,3
599,1285,1016,1789,3
600,1281,1010,1799,3
601,1277,1000,1795,3
602,1267,990,1810,3
603,1268,966,1819,3
604,1268,957,1821,3
605,1265,952,1836,3
606,1262,950,1857,3
607,1258,945,1846,3
608,1253,938,1844,3
609,1253,936,1847,3
610,1250,938,1837,3
611,1251,938,1833,3
612,1255,946,1834,3
613,1251,951,1833,3
614,1247,951,1829,3
615,1250,942,1828,3
616,1251,937,1821,3
617,1251,930,1826,3
618,1253,928,1827,3
619,1251,928,1827,3
620,1251,930,1834,3
621,1249,932,1827,3
622,1252,932,1824,3
623,1252,933,1818,3
624,1253,937,1828,3
625,1257,942,1826,3
626,1253,943,1823,3
627,1254,943,1818,3
628,1252,939,1815,3
629,1268,1739,1782,4
630,1274,1740,1789,4
631,1279,1739,1780,4
632,1286,1743,1767,4
633,1290,1733,1739,4
634,1287,1733,1704,4
635,1286,1726,1683,4
636,1285,1735,1640,4
637,1286,1730,1603,4
638,1285,1727,1598,4
639,1288,1733,1630,4
640,1287,1732,1648,4
641,1292,1726,1657,4
642,1297,1732,1662,4
643,1300,1711,1682,4
644,1308,1688,1720,4
645,1308,1688,1743,4
646,1312,1686,1758,4
647,1310,1691,1762,4
648,1309,1688,1745,4
649,1304,1690,1737,4
650,1304,1697,1727,4
651,1301,1704,1723,4
652,1302,1710,1728,4
653,1306,1725,1738,4
654,1303,1737,1745,4
655,1300,1737,1754,4
656,1298,1738,1750,4
657,1298,1739,1749,4
658,1298,1737,1751,4
659,1301,1741,1752,4
660,1298,1739,1749,4
661,1295,1737,1752,4
662,1294,1737,1744,4
663,1291,1735,1745,4
664,1289,1732,1744,4
665,1291,1735,1741,4
666,1288,1737,1742,4
667,1288,1735,1746,4
668,1288,1742,1741,4
669,1284,1738,1743,4
670,1284,1737,1742,4
671,1280,1734,1737,4
672,1277,1732,1740,4
673,1273,1729,1739,4
674,1270,1725,1739,4
675,1266,1720,1735,4
676,1268,1710,1726,4
677,1266,1707,1715,4
678,1268,1701,1717,4
679,1270,1706,1716,4
680,1268,1706,1718,4
681,1269,1706,1721,4
682,1270,1706,1715,4
683,1268,1702,1708,4
684,1270,1698,1712,4
685,1272,1700,1714,4
686,1269,1699,1713,4
687,1267,1697,1717,4
688,1268,1699,1711,4
689,1266,1695,1708,4
690,1267,1692,1709,4
691,1279,1686,1708,4
692,1326,1686,1711,4
693,1404,1684,1716,4
694,1420,1688,1708,4
695,1418,1681,1707,4
696,1398,1679,1706,4
697,1391,1677,1700,4
698,1391,1673,1703,4
699,1377,1670,1710,4
700,1348,1669,1705,4
701,1359,1667,1700,4
702,1371,1663,1701,4
703,1377,1663,1692,4
704,1376,1662,1698,4
705,1375,1660,1697,4
706,1376,1663,1699,4
707,1376,1666,1694,4
708,1393,1662,1694,4
709,1431,1662,1690,4
710,1443,1659,1682,4
711,1425,1661,1689,4
712,1405,1670,1691,4
713,1400,1674,1691,4
714,1412,1673,1681,4
715,1407,1670,1672,4
716,1403,1662,1657,4
717,1401,1661,1659,4
718,1417,1663,1658,4
719,1437,1658,1655,4
720,1444,1659,1655,4
721,1440,1658,1647,4
722,1426,1658,1640,4
723,1435,1652,1644,4
724,1441,1662,1652,4
725,1451,1663,1655,4
726,1446,1671,1664,4
727,1446,1674,1662,4
728,1436,1672,1661,4
729,1437,1670,1664,4
730,1437,1668,1665,4
731,1429,1668,1666,4
732,1424,1672,1674,4
733,1420,1676,1669,4
734,1415,1677,1672,4
735,1416,1694,1692,4
736,1411,1697,1704,4
737,1408,1685,1708,4
738,1401,1694,1719,4
739,1397,1690,1716,4
740,1392,1688,1707,4
741,1393,1686,1705,4
742,1392,1690,1699,4
743,1390,1692,1707,4
744,1393,1694,1708,4
745,1389,1694,1706,4
746,1388,1696,1708,4
747,1384,1694,1706,4
748,1386,1693,1704,4
749,1386,1691,1698,4
750,1386,1687,1703,4
751,1384,1690,1704,4
752,1384,1690,1706,4
753,1381,1689,1705,4
754,1384,1685,1701,4
755,1383,1685,1694,4
756,1383,1682,1699,4
757,1383,1685,1700,4
758,1381,1683,1703,4
759,1872,935,1703,5
760,1868,935,1703,5
761,1860,934,1706,5
762,1863,934,1700,5
763,1867,933,1696,5
764,1866,934,1696,5
765,1868,931,1699,5
766,1866,930,1702,5
767,1864,929,1705,5
768,1861,927,1706,5
769,1864,925,1702,5
770,1865,923,1699,5
771,1865,920,1703,5
772,1867,921,1706,5
773,1864,921,1714,5
774,1859,919,1723,5
775,1860,917,1723,5
776,1865,917,1718,5
777,1864,916,1714,5
778,1866,914,1718,5
779,1868,916,1717,5
780,1864,916,1717,5
781,1861,914,1717,5
782,1865,915,1715,5
783,1865,914,1711,5
784,1865,913,1717,5
785,1868,916,1715,5
786,1864,915,1717,5
787,1862,918,1717,5
788,1861,916,1715,5
789,1865,916,1711,5
790,1865,915,1707,5
791,1864,915,1713,5
792,1866,916,1713,5
793,1862,916,1713,5
794,1860,915,1711,5
795,1863,915,1711,5
796,1863,916,1705,5
797,1861,917,1711,5
798,1865,919,1709,5
799,1857,922,1713,5
800,1853,925,1708,5
801,1856,925,1708,5
802,1858,925,1705,5
803,1859,925,1704,5
804,1861,923,1710,5
805,1857,925,1712,5
806,1853,925,1715,5
807,1850,924,1714,5
808,1854,926,1709,5
809,1855,927,1706,5
810,1853,924,1707,5
811,1858,923,1711,5
812,1853,922,1711,5
813,1852,922,1717,5
814,1852,923,1709,5
815,1853,922,1703,5
816,1852,920,1706,5
817,1855,919,1709,5
818,1853,920,1709,5
819,1850,919,1714,5
820,1849,920,1713,5
821,1853,919,1706,5
822,1851,919,1704,5
823,1852,917,1706,5
824,1854,917,1706,5
825,1850,914,1706,5
826,1848,915,1711,5
827,1849,914,1707,5
828,1855,913,1705,5
829,1852,915,1714,5
830,1854,915,1718,5
831,1850,914,1716,5
832,1850,914,1720,5
833,1850,913,1714,5
834,1854,913,1713,5
835,1855,927,1703,5
836,1858,966,1707,5
837,1865,1019,1710,5
838,1865,1045,1709,5
839,1868,1069,1707,5
840,1868,1110,1696,5
841,1870,1111,1695,5
842,1869,1130,1695,5
843,1870,1137,1695,5
844,1865,1146,1695,5
845,1863,1145,1704,5
846,1862,1136,1701,5
847,1855,1130,1698,5
848,1858,1108,1700,5
849,1861,1101,1696,5
850,1862,1107,1696,5
851,1857,1133,1698,5
852,1852,1153,1697,5
853,1847,1155,1691,5
854,1846,1158,1687,5
855,1848,1177,1679,5
856,1850,1195,1687,5
857,1847,1202,1693,5
858,1845,1192,1706,5
859,1844,1181,1702,5
860,1841,1159,1699,5
861,1845,1143,1698,5
862,1844,1103,1699,5
863,1848,1050,1706,5
864,1838,984,1709,5
865,1837,903,1709,5
866,1834,896,1706,5
867,1836,899,1701,5
868,1838,893,1695,5
869,1839,886,1701,5
870,1840,886,1702,5
871,1839,883,1702,5
872,1842,894,1701,5
873,1849,924,1709,5
874,1854,961,1726,5
875,1864,964,1741,5
876,1875,975,1751,5
877,1875,980,1753,5
878,1882,977,1758,5
879,1891,975,1750,5
880,1906,979,1754,5
881,1904,987,1753,5
882,1910,992,1770,5
883,1912,998,1777,5
884,1905,1008,1789,5
885,1901,1016,1792,5
886,1898,1015,1785,5
887,1905,1003,1777,5
888,1904,1002,1781,5
889,1911,1006,1781,5
890,1914,1005,1780,5
891,1915,994,1789,5
892,1916,981,1778,5
893,1919,967,1775,5
894,1917,961,1775,5
895,1923,954,1777,5
896,1918,950,1772,5
897,1914,948,1772,5
898,1913,951,1769,5
899,1911,951,1765,5
900,1913,949,1761,5
901,1909,944,1748,5
902,1908,939,1738,5
903,1898,936,1733,5
904,1890,935,1741,5
905,1886,939,1743,5
906,1879,945,1752,5
907,1885,950,1756,5
908,1891,948,1765,5
909,1882,943,1767,5
910,1877,942,1776,5
911,1878,944,1766,5
912,1886,942,1758,5
913,1908,951,1743,5
914,1928,964,1729,5
915,1927,972,1731,5
916,1922,970,1728,5
917,1920,972,1724,5
918,1910,970,1717,5
919,1913,971,1715,5
920,1912,971,1714,5
921,1915,972,1737,5
922,1908,967,1762,5
923,1901,957,1775,5
924,1896,951,1776,5
925,1891,941,1772,5
926,1889,936,1771,5
927,1885,937,1766,5
928,1878,936,1773,5
929,1875,937,1779,5
930,1870,935,1770,5
931,1861,928,1763,5
932,1874,927,1758,5
933,1882,923,1752,5
934,1888,924,1763,5
935,1890,936,1786,5
936,1885,987,1799,5
937,1868,986,1787,5
938,1859,978,1791,5
939,1864,972,1778,5
940,1870,970,1766,5
941,1883,976,1770,5
942,1888,980,1771,5
943,1900,976,1774,5
944,1905,968,1761,5
945,1913,965,1755,5
946,1918,964,1748,5
947,1921,962,1746,5
948,1924,963,1747,5
949,1922,961,1747,5
950,1911,960,1749,5
951,1910,957,1743,5
952,1899,956,1737,5
953,1892,953,1747,5
954,1889,963,1754,5
955,1878,967,1761,5
956,1873,971,1761,5
957,1863,982,1759,5
958,1861,991,1772,5
959,1858,991,1761,5
960,1856,992,1760,5
961,1848,993,1746,5
962,1849,996,1741,5
963,1848,1000,1737,5
964,1852,1000,1734,5
965,1859,1000,1730,5
966,1857,1000,1736,5
967,1856,1839,952,6
968,1856,1839,948,6
969,1856,1835,949,6
970,1856,1836,948,6
971,1856,1838,950,6
972,1857,1842,945,6
973,1854,1838,943,6
974,1860,1839,939,6
975,1859,1838,936,6
976,1860,1834,937,6
977,1860,1839,938,6
978,1861,1843,934,6
979,1857,1839,932,6
980,1862,1837,929,6
981,1862,1836,925,6
982,1862,1831,928,6
983,1866,1833,927,6
984,1859,1834,926,6
985,1858,1836,927,6
986,1855,1830,929,6
987,1858,1830,930,6
988,1857,1829,928,6
989,1862,1826,929,6
990,1859,1829,928,6
991,1856,1829,932,6
992,1853,1830,929,6
993,1855,1828,927,6
994,1856,1826,927,6
995,1856,1824,930,6
996,1858,1827,930,6
997,1855,1827,930,6
998,1853,1827,932,6
999,1852,1830,930,6
1000,1853,1825,927,6
1001,1855,1822,928,6
1002,1858,1823,929,6
1003,1854,1826,928,6
1004,1854,1827,932,6
1005,1852,1828,930,6
1006,1856,1827,929,6
1007,1858,1825,926,6
1008,1862,1823,930,6
1009,1866,1828,932,6
1010,1862,1829,935,6
1011,1861,1828,936,6
1012,1860,1831,934,6
1013,1860,1826,929,6
1014,1861,1822,932,6
1015,1865,1825,931,6
1016,1860,1824,931,6
1017,1858,1826,934,6
1018,1858,1829,931,6
1019,1858,1825,930,6
1020,1859,1822,928,6
1021,1859,1819,930,6
1022,1862,1821,930,6
1023,1857,1820,929,6
1024,1858,1820,932,6
1025,1854,1818,928,6
1026,1860,1811,927,6
1027,1861,1800,927,6
1028,1865,1802,927,6
1029,1862,1804,923,6
1030,1863,1804,923,6
1031,1862,1806,921,6
1032,1857,1792,918,6
1033,1862,1774,918,6
1034,1868,1769,919,6
1035,1863,1771,926,6
1036,1861,1785,932,6
1037,1859,1795,933,6
1038,1858,1792,933,6
1039,1860,1784,932,6
1040,1861,1768,932,6
1041,1868,1742,937,6
1042,1866,1740,941,6
1043,1862,1740,949,6
1044,1866,1740,950,6
1045,1860,1735,954,6
1046,1874,1753,958,6
1047,1884,1763,961,6
1048,1881,1787,977,6
1049,1881,1807,987,6
1050,1879,1808,986,6
1051,1878,1794,985,6
1052,1882,1787,986,6
1053,1879,1783,981,6
1054,1884,1777,982,6
1055,1876,1785,975,6
1056,1877,1787,976,6
1057,1884,1800,980,6
1058,1873,1826,984,6
1059,1871,1830,987,6
